45.7791121886, 4.8719521951;"{""type"": ""Point"", ""coordinates"": [4.871952195102793, 45.779112188592386]}";10056;11 novembre / Gaston Berger;Avenue du 11 novembre 1918;Angle Avenue Gaston Berger;VILLEURBANNE;56;Non;resto U, associations, logements étudiants, iti. Cyclable;45.7791121885925000;4.8719521951028000;35;OPEN;19;16;1;Vert;t;902;2015-07-01 16:09:19;2015-07-01 16:11:00
45.763573087, 4.83190183735;"{""type"": ""Point"", ""coordinates"": [4.831901837346544, 45.76357308699398]}";2040;Quai Saint Antoine;10 quai Saint Antoine;;Lyon 2 ème;40;Non;Commerces, centre-ville;45.7635730869941000;4.8319018373465500;15;CLOSED;13;0;3;Orange;t;949;2015-07-01 00:30:01;2015-07-01 00:30:01
45.7619651301, 4.84105343077;"{""type"": ""Point"", ""coordinates"": [4.841053430766209, 45.76196513011541]}";3044;Augagneur / Bonnel;Quai Augagneur;Entre rue de Bonnel et rue Rabelais;Lyon 3 ème;44;Non;maillage (habitat dense);45.7619651301155000;4.8410534307662100;21;OPEN;8;9;1;Vert;t;1029;2015-07-01 16:09:39;2015-07-01 16:11:00
45.7658113822, 4.83689574142;"{""type"": ""Point"", ""coordinates"": [4.836895741420563, 45.765811382203964]}";1012;Ampère;Rue de la Bourse;Long du Collège-Lycée Ampère;Lyon 1 er;12;Non;Lycée Ampère et rue de la Bourse, Métro A;45.7658113822041000;4.8368957414205600;20;OPEN;3;17;1;Vert;t;1066;2015-07-01 16:05:55;2015-07-01 16:11:00
45.7297456006, 4.86828425933;"{""type"": ""Point"", ""coordinates"": [4.868284259333226, 45.72974560058471]}";8006;Place 8 mai 1945;rue Professeur Beauvisage;angle avenue des Etats-Unis;Lyon 8 ème;6;Non;coeur quartier, itinéraires cyclables;45.7297456005848000;4.8682842593332300;20;OPEN;5;14;1;Vert;t;1070;2015-07-01 16:00:45;2015-07-01 16:11:00
45.743391975, 4.81581631156;"{""type"": ""Point"", ""coordinates"": [4.815816311556858, 45.743391974956474]}";2010;Confluence Darse;Allée Andrée Mure;;Lyon 2 ème;10;Non;;45.7433919749566000;4.8158163115568600;22;OPEN;1;19;1;Vert;t;1023;2015-07-01 16:05:00;2015-07-01 16:11:00
45.7881700188, 4.81856028667;"{""type"": ""Point"", ""coordinates"": [4.818560286672525, 45.78817001882357]}";4024;Lyon Métropole;Face au 84, quai Joseph Gillet;150 mètres au sud de la rue du Bois de la Caille;Lyon 4 ème;24;Non;;45.7881700188237000;4.8185602866725300;25;OPEN;8;17;1;Vert;t;951;2015-07-01 16:00:15;2015-07-01 16:11:00
45.7536448446, 4.88926855741;"{""type"": ""Point"", ""coordinates"": [4.889268557413093, 45.75364484459546]}";3013;Place Ronde;Place Antoinette;Angle rue Antoinette et cours Richard;Lyon 3 ème;13;Non;coeur de quartier;45.7536448445955000;4.8892685574130900;21;OPEN;18;3;1;Vert;t;1002;2015-07-01 16:06:51;2015-07-01 16:11:00
45.7495170788, 4.88728572322;"{""type"": ""Point"", ""coordinates"": [4.887285723219294, 45.749517078847035]}";3012;Place du Château;Place du Château;A côté de l'Eglise;Lyon 3 ème;12;Non;coeur de quartier;45.7495170788471000;4.8872857232192900;25;OPEN;21;4;1;Vert;t;865;2015-07-01 16:04:45;2015-07-01 16:11:00
45.7668296196, 4.84113933935;"{""type"": ""Point"", ""coordinates"": [4.841139339351326, 45.7668296196242]}";6023;Liautey / Sarrail;Place Liautey;angle rue de Sèze;Lyon 6 ème;23;Non;Parc du Rhône;45.7668296196243000;4.8411393393513300;14;OPEN;9;5;1;Vert;t;1060;2015-07-01 16:00:11;2015-07-01 16:11:00
